,delivery_area_id,date,partners_cnt,delay_rate,shift_time-4,shift_time-5,shift_time-6,shift_time-7,shift_time-8
2833,0,2021-12-01 10:00:00,5.0,0.0,0,0,0,0,5
2834,0,2021-12-01 11:00:00,6.0,0.0,1,0,0,0,0
2835,0,2021-12-01 12:00:00,5.0,0.0,0,0,0,0,0
2836,0,2021-12-01 13:00:00,3.0,0.0,0,0,0,0,0
2837,0,2021-12-01 14:00:00,3.0,0.0,0,0,0,0,0
2838,0,2021-12-01 15:00:00,4.0,0.0,0,0,0,0,0
2839,0,2021-12-01 16:00:00,4.0,0.0,0,0,0,0,0
2840,0,2021-12-01 17:00:00,3.0,0.0,0,0,0,0,0
2841,0,2021-12-01 18:00:00,5.0,0.0,0,0,0,0,0
2842,0,2021-12-01 19:00:00,3.0,0.0,3,0,0,0,0
2843,0,2021-12-01 20:00:00,4.0,0.11,1,0,0,0,0
2844,0,2021-12-01 21:00:00,2.0,0.0,0,0,0,0,0
2845,0,2021-12-02 10:00:00,5.0,0.0,0,0,0,0,5
2846,0,2021-12-02 11:00:00,6.0,0.0,0,0,0,1,0
2847,0,2021-12-02 12:00:00,3.0,0.0,0,0,0,0,0
2848,0,2021-12-02 13:00:00,3.0,0.0,0,0,0,0,0
2849,0,2021-12-02 14:00:00,4.0,0.0,0,0,0,0,0
2850,0,2021-12-02 15:00:00,4.0,0.0,0,0,0,0,0
2851,0,2021-12-02 16:00:00,4.0,0.0,0,0,0,0,0
2852,0,2021-12-02 17:00:00,3.0,0.0,0,0,0,0,0
2853,0,2021-12-02 18:00:00,5.0,0.0,0,0,0,0,0
2854,0,2021-12-02 19:00:00,4.0,0.0,4,0,0,0,0
2855,0,2021-12-02 20:00:00,4.0,0.11,0,0,0,0,0
2856,0,2021-12-02 21:00:00,2.0,0.1,0,0,0,0,0
2857,0,2021-12-03 10:00:00,6.0,0.0,0,0,0,0,6
2858,0,2021-12-03 11:00:00,5.0,0.0,0,0,0,0,0
2859,0,2021-12-03 12:00:00,5.0,0.0,0,0,0,0,0
2860,0,2021-12-03 13:00:00,4.0,0.0,0,0,0,0,0
2861,0,2021-12-03 14:00:00,4.0,0.0,0,0,0,0,0
2862,0,2021-12-03 15:00:00,4.0,0.0,0,0,0,0,0
2863,0,2021-12-03 16:00:00,4.0,0.0,0,0,0,0,0
2864,0,2021-12-03 17:00:00,4.0,0.0,0,0,0,0,0
2865,0,2021-12-03 18:00:00,5.0,0.0,0,0,0,0,0
2866,0,2021-12-03 19:00:00,4.0,0.12,4,0,0,0,0
2867,0,2021-12-03 20:00:00,5.0,0.11,1,0,0,0,0
2868,0,2021-12-03 21:00:00,3.0,0.0,0,0,0,0,0
2869,0,2021-12-04 10:00:00,6.0,0.0,0,0,0,0,6
2870,0,2021-12-04 11:00:00,4.0,0.0,0,0,0,0,0
2871,0,2021-12-04 12:00:00,5.0,0.0,0,0,0,0,0
2872,0,2021-12-04 13:00:00,4.0,0.0,0,0,0,0,0
2873,0,2021-12-04 14:00:00,4.0,0.0,0,0,0,0,0
2874,0,2021-12-04 15:00:00,5.0,0.0,0,0,0,0,0
2875,0,2021-12-04 16:00:00,4.0,0.0,0,0,0,0,0
2876,0,2021-12-04 17:00:00,4.0,0.0,0,0,0,0,0
2877,0,2021-12-04 18:00:00,6.0,0.0,0,0,0,0,0
2878,0,2021-12-04 19:00:00,4.0,0.0,4,0,0,0,0
2879,0,2021-12-04 20:00:00,5.0,0.11,1,0,0,0,0
2880,0,2021-12-04 21:00:00,3.0,0.0,0,0,0,0,0
2881,0,2021-12-05 10:00:00,6.0,0.0,0,0,0,0,6
2882,0,2021-12-05 11:00:00,4.0,0.0,0,0,0,0,0
2883,0,2021-12-05 12:00:00,6.0,0.0,0,0,0,0,0
2884,0,2021-12-05 13:00:00,4.0,0.0,0,0,0,0,0
2885,0,2021-12-05 14:00:00,5.0,0.0,0,0,0,0,0
2886,0,2021-12-05 15:00:00,5.0,0.0,0,0,0,0,0
2887,0,2021-12-05 16:00:00,5.0,0.0,0,0,0,0,0
2888,0,2021-12-05 17:00:00,5.0,0.0,0,0,0,0,0
2889,0,2021-12-05 18:00:00,6.0,0.0,0,0,0,0,0
2890,0,2021-12-05 19:00:00,5.0,0.0,5,0,0,0,0
2891,0,2021-12-05 20:00:00,5.0,0.11,0,0,0,0,0
2892,0,2021-12-05 21:00:00,3.0,0.0,0,0,0,0,0
2893,0,2021-12-06 10:00:00,6.0,0.0,0,0,0,0,6
2894,0,2021-12-06 11:00:00,4.0,0.0,0,0,0,0,0
2895,0,2021-12-06 12:00:00,5.0,0.0,0,0,0,0,0
2896,0,2021-12-06 13:00:00,5.0,0.0,0,0,0,0,0
2897,0,2021-12-06 14:00:00,5.0,0.0,0,0,0,0,0
2898,0,2021-12-06 15:00:00,5.0,0.0,0,0,0,0,0
2899,0,2021-12-06 16:00:00,5.0,0.0,0,0,0,0,0
2900,0,2021-12-06 17:00:00,5.0,0.0,0,0,0,0,0
2901,0,2021-12-06 18:00:00,6.0,0.0,0,0,0,0,0
2902,0,2021-12-06 19:00:00,5.0,0.0,5,0,0,0,0
2903,0,2021-12-06 20:00:00,6.0,0.11,1,0,0,0,0
2904,0,2021-12-06 21:00:00,3.0,0.0,0,0,0,0,0
2905,0,2021-12-07 10:00:00,7.0,0.0,0,0,0,0,7
2906,0,2021-12-07 11:00:00,5.0,0.0,0,0,0,0,0
2907,0,2021-12-07 12:00:00,6.0,0.0,0,0,0,0,0
2908,0,2021-12-07 13:00:00,5.0,0.0,0,0,0,0,0
2909,0,2021-12-07 14:00:00,5.0,0.0,0,0,0,0,0
2910,0,2021-12-07 15:00:00,5.0,0.0,0,0,0,0,0
2911,0,2021-12-07 16:00:00,6.0,0.0,0,0,0,0,0
2912,0,2021-12-07 17:00:00,5.0,0.0,0,0,0,0,0
2913,0,2021-12-07 18:00:00,7.0,0.0,0,0,0,0,0
2914,0,2021-12-07 19:00:00,5.0,0.0,5,0,0,0,0
2915,0,2021-12-07 20:00:00,6.0,0.11,1,0,0,0,0
2916,0,2021-12-07 21:00:00,4.0,0.3,0,0,0,0,0
5805,1,2021-12-01 10:00:00,5.0,0.0,0,0,0,0,0
5806,1,2021-12-01 11:00:00,4.0,0.0,0,0,0,0,0
5807,1,2021-12-01 12:00:00,5.0,0.0,0,0,0,0,0
5808,1,2021-12-01 13:00:00,4.0,0.0,0,0,0,0,0
5809,1,2021-12-01 14:00:00,3.0,0.0,0,0,0,0,0
5810,1,2021-12-01 15:00:00,3.0,0.0,0,0,0,0,0
5811,1,2021-12-01 16:00:00,2.0,0.0,0,0,0,0,0
5812,1,2021-12-01 17:00:00,3.0,0.0,0,0,0,0,0
5813,1,2021-12-01 18:00:00,4.0,0.0,0,0,0,0,0
5814,1,2021-12-01 19:00:00,3.0,0.0,0,0,0,0,0
5815,1,2021-12-01 20:00:00,4.0,0.11,0,0,0,0,0
5816,1,2021-12-01 21:00:00,2.0,0.0,0,0,0,0,0
5817,1,2021-12-02 10:00:00,6.0,0.0,0,0,0,0,0
5818,1,2021-12-02 11:00:00,5.0,0.0,0,0,0,0,0
5819,1,2021-12-02 12:00:00,5.0,0.0,0,0,0,0,0
5820,1,2021-12-02 13:00:00,4.0,0.0,0,0,0,0,0
5821,1,2021-12-02 14:00:00,3.0,0.0,0,0,0,0,0
5822,1,2021-12-02 15:00:00,3.0,0.0,0,0,0,0,0
5823,1,2021-12-02 16:00:00,3.0,0.0,0,0,0,0,0
